Mutation,Selection,Crossover,Elitism,Fitness
swap_mutation_column,tournament_selection,single_point_crossover,True,"[15, 17, 17, 13, 16, 16, 15, 14, 17, 16, 13, 12, 15, 17, 16]"
swap_mutation_column,tournament_selection,single_point_crossover,False,"[14, 16, 14, 11, 13, 16, 15, 16, 16, 14, 15, 16, 14, 14, 13]"
swap_mutation_column,tournament_selection,two_point_crossover,True,"[15, 16, 17, 16, 15, 16, 15, 18, 17, 14, 16, 14, 17, 17, 17]"
swap_mutation_column,tournament_selection,two_point_crossover,False,"[17, 16, 18, 16, 15, 16, 17, 13, 14, 17, 17, 15, 17, 14, 17]"
swap_mutation_column,tournament_selection,uniform_crossover,True,"[4, 2, 6, 5, 4, 4, 7, 4, 4, 3, 8, 3, 4, 6, 6]"
swap_mutation_column,tournament_selection,uniform_crossover,False,"[7, 2, 5, 6, 6, 4, 6, 2, 5, 4, 7, 5, 4, 5, 3]"
swap_mutation_column,fitness_proportionate_selection,single_point_crossover,True,"[12, 13, 11, 11, 15, 14, 14, 13, 11, 14, 13, 13, 13, 11, 11]"
swap_mutation_column,fitness_proportionate_selection,single_point_crossover,False,"[14, 15, 13, 10, 15, 15, 13, 16, 12, 14, 14, 16, 15, 12, 14]"
swap_mutation_column,fitness_proportionate_selection,two_point_crossover,True,"[11, 13, 16, 15, 14, 15, 13, 14, 15, 15, 16, 15, 13, 16, 15]"
swap_mutation_column,fitness_proportionate_selection,two_point_crossover,False,"[16, 15, 14, 14, 15, 16, 15, 15, 16, 17, 16, 16, 12, 15, 14]"
swap_mutation_column,fitness_proportionate_selection,uniform_crossover,True,"[7, 5, 5, 5, 9, 4, 5, 4, 5, 3, 5, 6, 4, 5, 4]"
swap_mutation_column,fitness_proportionate_selection,uniform_crossover,False,"[17, 21, 17, 20, 18, 20, 21, 14, 19, 15, 20, 20, 21, 12, 17]"
swap_mutation_column,ranking_selection,single_point_crossover,True,"[14, 16, 13, 13, 15, 15, 14, 13, 14, 13, 15, 15, 17, 16, 16]"
swap_mutation_column,ranking_selection,single_point_crossover,False,"[14, 14, 14, 16, 14, 15, 15, 15, 11, 15, 17, 14, 15, 13, 16]"
swap_mutation_column,ranking_selection,two_point_crossover,True,"[16, 16, 16, 16, 16, 16, 17, 16, 16, 15, 13, 17, 16, 17, 12]"
swap_mutation_column,ranking_selection,two_point_crossover,False,"[14, 15, 17, 15, 14, 14, 15, 14, 14, 10, 17, 17, 11, 17, 17]"
swap_mutation_column,ranking_selection,uniform_crossover,True,"[8, 7, 4, 7, 6, 9, 4, 9, 9, 5, 10, 10, 8, 8, 7]"
swap_mutation_column,ranking_selection,uniform_crossover,False,"[6, 9, 9, 8, 8, 6, 5, 9, 9, 2, 5, 7, 7, 4, 7]"
swap_mutation_row,tournament_selection,single_point_crossover,True,"[15, 15, 16, 15, 15, 15, 18, 14, 12, 15, 17, 14, 14, 16, 17]"
swap_mutation_row,tournament_selection,single_point_crossover,False,"[12, 15, 13, 16, 15, 15, 13, 18, 14, 14, 17, 14, 14, 17, 15]"
swap_mutation_row,tournament_selection,two_point_crossover,True,"[15, 17, 17, 16, 14, 17, 18, 14, 18, 16, 18, 15, 12, 13, 16]"
swap_mutation_row,tournament_selection,two_point_crossover,False,"[16, 15, 16, 16, 18, 16, 14, 15, 17, 17, 15, 16, 18, 17, 14]"
swap_mutation_row,tournament_selection,uniform_crossover,True,"[5, 7, 7, 6, 7, 5, 4, 6, 4, 4, 5, 6, 7, 3, 2]"
swap_mutation_row,tournament_selection,uniform_crossover,False,"[6, 6, 6, 3, 3, 5, 4, 4, 7, 7, 4, 8, 5, 4, 8]"
